id,title,input_type,categories,image_name,audio_name,correct_letters,correct_answer_text,all_choices,explanation,permalink
1,Who can require you to undergo a breath screening test?,Radio,car:core; heavy_vehicle:core; motorbike:core,,1.mp3,A,A police officer,A. A police officer | B. An ambulance officer | C. A judge or magistrate | D. A doctor | E. None of the above,"Breath screening tests A police officer can require you to undergo a breath screening test. There are steep fines if you refuse to consent to an evidential test. If you do need an evidential test you will need to give your vehicle keys to the police officer and you will then accompany them for a test. This might be in a roadside &lsquo;booze bus&rsquo; (a vehicle kitted out with testing equipment), or you may have to accompany them to a police station. If you opt for the blood test they will have a medical doctor take the blood. You can refuse an evidential blood test , but you must then consent to an evidential breath test and vice versa. If the evidential breath test result is over the limit you can request a blood test for confirmation. You are allowed to call a lawyer before the evidential blood or breath test and if you don&rsquo;t have a phone available, one will be made available for you. There are specialist drink-drive (DUI) lawyers. Implications for your vehicle's safety You may need to leave your vehicle on the side of the road if you are instructed by a police officer to accompany them to the station, unless someone who is with you is legally able to drive the vehicle to another location. By 'legally able' this means of legal age, holding the right type of licence, not under any kind of suspension or disqualification, and not under the influence of drugs or alcohol. You can call a tow truck, but this will be at your expense and could cost a couple of hundred dollars. If you are stopped on the motorway then you will be legally required to move your vehicle&nbsp; If you choose to leave your vehicle on the side of the road then it is at risk of vandalism. Penalties If you are 16-19 years old the alcohol limit is zero. If you are 20 years old or over, the alcohol limit is 50mg per 100ml of blood or 250mcg per litre of breath. If your test reading is greater than 130mg per 100ml of blood or 650mcg per litre of breath you will receive an immediate on-the-spot licence suspension, as long as you have no prior convictions for operating or attempting to operate a vehicle while intoxicated (&ldquo;under the influence of excess breath alcohol&rdquo;), or for refusing to provide a sample, or for causing death or injury while driving under the influence. If your reading is between 251-400mcg you will receive a $200 fine and 50 demerit points and will be banned from driving for 12 hours. If you have a previous conviction then you will receive the licence suspension immediately you are above the limit. The suspension is for 28 days, and there are court-imposed penalties to add on top. Examples of fines and penalties Killing or injuring someone while you&rsquo;re driving under the influence: up to 10 years in prison, up to $20,000 fine and one year or more disqualification from driving. If you&rsquo;ve already been convicted of a drink-driving offence, then your suspension will likely be more than one year. Driving while under the influence (i.e. more than 80mg/100ml): for a first or second offence you could receive up to 3 months in jail, a fine of up to $4500 and six months or more disqualification. If you have at least two previous convictions then you could face up to two years in prison and a fine of up to $6000, with a disqualification of at least one year. The court may also impose a zero alcohol licence &nbsp;if you&rsquo;ve already been convicted. If it&rsquo;s your first conviction then you may need to use an alcohol interlock after a three-month disqualification. If you are under 20 and have more than 30mg/100ml or 150mcg per litre you could face up to 3 months in jail, a fine of up to $2250 and a disqualification of 3 months or more. If you refuse to give blood you could face up to 3 months in jail, a fine of up to $4500 and a disqualification of 6 months or more. This rises to up to 2 years in jail, up to $6000 in fines and a disqualification of more than one year if you have at least two previous convictions. If you don&rsquo;t hand over your vehicle&rsquo;s keys the fine is up to $10,000. Alcohol and drug limits It's no longer cool to have 'one for the road'. Any consumption of alcohol has an effect on your driving &nbsp;by impairing your reactions, making you over-confident, making it more likely you will fall asleep at the wheel and reducing your ability to perceive speed and distance. In fact, your reactions suffer well before you even start feeling drunk. Remember that the limit for a driver under 20 years old is effectively zero - one drink will put you over the limit. For information about calculating your blood alcohol level and the types of fines and penalties you can get,&nbsp; click here .",who-can-breath-screening
2,You must turn your vehicle headlights on when visibility is less than:,Radio,car:core; heavy_vehicle:core; motorbike:core,headlights-range.jpg,2.mp3,B,100 metres,A. 50 metres | B. 100 metres | C. 150 metres | D. 200 metres,"Using your vehicle's headlights When you can't see at least 100m ahead of you, you must turn your vehicle's headlights on. Even if you can see well, other drivers might not be able to see you, especially if your vehicle is a darker colour. In fact, if you drive a darker coloured vehicle it is advisable to turn your lights on earlier and off later as some coloured vehicles are more at risk of being in an accident &nbsp;due to visibility issues. Turning on your headlights means turning the main lights on your car on. This will turn both the front and rear lights on. If there are no daytime running lights or automatic lights there will be sidelights that come on the first click of your headlight controls. The second click are the main headlights. To access full beam headlights you'll either push the stalk forwards or pull it back. In most modern cars pulling the headlight stalk back flashes the headlights whereas pushing it forward keeps the headlights on. In some older cars, you would pull the headlight stalk back until it clicks a switch, then pull it back again to cancel the full beam headlights. Why do other vehicles' headlights come on in a tunnel? Many newer cars will have daytime running lights which are on all the time, and some have automatic headlights which detect when it's dark enough for headlights to be lit.&nbsp; Replacing headlight bulbs Eventually your headlight bulbs will fail and then your vehicle is not up to Warrant of Fitness standard. You will need to purchase a replacement bulb, which you can do from any automotive store, and fit it yourself. Or take it to a mechanic to replace it. &nbsp; Replacing a headlight bulb can be tricky. You will probably need to get in the engine bay with a screwdriver. The headlight bulbs are usually held in with a wire clip. You will need a paper towel or cloth to install the new bulb because if you get the grease from your skin on them it can create a hotspot &nbsp;which cracks the bulb. If you have LED lights they are less likely to fail. Levelling your headlights Newer cars tend to have self-levelling headlights. For example, if you are carrying a heavy load in the boot, or a pillion passenger on a motorcycle, the back of the vehicle is pushed down which means the front of the vehicle points up. This means your low-beam headlights could become dazzling to other drivers. Self-levelling headlights automatically adjust downwards. If you don&rsquo;t have self-levelling headlights and you are carrying a heavy load or towing a trailer, there will be a dial somewhere on your dashboard where you can angle the lights downwards.",turn-your-vehicle-headights
3,"On the road, a vehicle should not send out visible smoke for more than:",Radio,car:core; heavy_vehicle:core; motorbike:core,,3.mp3,B,10 seconds,A. 12 seconds | B. 10 seconds | C. 8 seconds | D. 6 seconds,"Vehicle emissions regulations A vehicle should not produce visible smoke for more than 10 seconds on the road or 5 seconds in a WoF inspection. The majority of vehicles run on petrol or diesel, with a few&nbsp;running on natural gas. Exhaust gases are the result of this fuel being burnt in the engine. If an engine is tuned well and not using oil, the amount of smoke from the exhaust will be minimal. When a vehicle is cold you will see vapour coming from the exhaust that disappears once the engine is warm. Once a well-tuned, good-condition engine is warm, there will be very little visible smoke unless a lot of throttle (acceleration) is applied. Three main types of engine smoke Black smoke Black smoke can indicate that one or more of the spark plugs need replacing, or that there&rsquo;s the wrong mixture of fuel/air in the engine. In a fuel-injected vehicle problems with several parts could cause black smoke: cam sensor, fuel injector, map sensor, ECM computer, fuel pressure regulator, or ignition circuit. It&rsquo;s usually possible to change the spark plugs easily. If this doesn&rsquo;t fix it you might need to see a mechanic. White smoke If your head gasket is blown or the cylinder head is cracked it will cause white smoke with no real smell. The white smoke is caused by water mixing with the fuel, and can be the result of a leak in the intake manifold &nbsp;(also called inlet manifold), too. You&rsquo;ll need to see a mechanic. If the smoke is light grey/white, it could be from transmission fluid. You&rsquo;ll need a mechanic. Blue smoke Blue smoke is caused by the engine burning oil. This should be investigated because it can eventually result in the engine seizing. It can be caused by a number of things such as not changing the oil for a long time, worn rings, a plugged PCV valve , fault valve stem seals, too much oil, or transmission fluid being sucked into the intake manifold. The worst-case scenario is an engine rebuild. Pollution Particulates from exhaust gases cause pollution. As the number of vehicles on the road increases, the government has progressively introduced more stringent requirements for vehicle emissions to help improve our environment. Airborne pollutants are particularly problematic when there are light winds, as they don't blow away. Exhaust gases consist of nitrogen, carbon dioxide, water vapour and (if you drive a diesel) oxygen. All these are fairly benign, but the trace elements are the problem. They are nitrogen oxides (NOx), carbon monoxide (CO), sulphur dioxide (SO2), hydrocarbons and, if it&rsquo;s a diesel engine, diesel soot and particulate matter.",visible-smoke
4,Which of your vehicle's lights should you turn on if you are driving in fog?,Radio,car:core; heavy_vehicle:core; motorbike:core,,4.mp3,D,All of the above,A. Park lights (side lights) | B. Front and rear fog lights | C. Dipped headlights | D. All of the above,"What are fog lamps or fog lights? When you drive in fog or heavy snowfall you must use your dipped headlights and fog lights. Fog lights consist of one or two bright red rear lights and two low-mounted headlights. In Europe and other countries that adhere to UN Regulation 48, vehicles must be fitted with rear fog lights at minimum. They are less common on Japanese and American vehicles. The intensity of a rear fog lamp is similar to that of a brake light, or stop lamp, and for this reason there is an argument that having two fog lamps is confusing to drivers following because it looks like activated brake lights. Some cars, such as many Peugeot models, have a centre-mounted fog lamp. Many older cars have one single fog lamp in the right-hand rear light with a reversing lamp in the corresponding place in the left-hand light. Newer cars conforming to UN Regulation 48 must have at least a 10cm separation between the closest illuminated edge of any fog light and stop light. The disadvantage with a single fog lamp is that it is slightly more difficult to perceive the distance you are away from it. Fog lights can be distracting and/or blinding to other drivers when there is no fog, so it&rsquo;s important to only turn them on when required. It&rsquo;s actually against the law in New Zealand to use your fog lights when it&rsquo;s not either foggy or snowing, or visibility is significantly reduced in some other way, for example by smoke. If it&rsquo;s clear you are not allowed to use fog lights at night, either. The front-mounted lights are set low and give a short, wide beam of light to help illuminate the way without reflecting a lot of light back at the driver like full-beam headlights would. The centre line of the beam of light emitted from the lamp must be to the left of the centre axis of the vehicle, and they must be permanently dipped. Front fog lights help the driver see the edge of the road more clearly. They also provide two extra points of light that oncoming drivers can see through the fog. In fact, front-mounted fog lamps must not be positioned higher than dipped-beam headlights on the vehicle.&nbsp; Vehicles are allowed a maximum of two front fog lights and two rear fog lights in New Zealand. The front ones must be white or amber and the rear ones must be red. There are approved standards that must be met. Rear fog lights must be able to be turned on and off independently of the taillights. What visibility levels should fog lights be used in? You can find the specifications of fog lamps in rule 32005 Vehicle Lighting 2004 from the Ministry of Transport . There are no definite directions about when to use fog lights. Road authorities in other countries suggest that a reduction in visibility to less than 100m means visibility is reduced enough to use fog lights, but 100m is difficult to judge when it's dark. The New Zealand rule specifically states: Fog lamp means a high intensity lamp designed to aid the driver or other road users in conditions of severely reduced visibility, including fog or snow but not including clear atmospheric conditions under the hours of darkness, and that is: (a) a front fog lamp; or (b) a rear fog lamp. &nbsp;",if-youre-driving-in-fog-which-of-the-veh
5,What is the least distance of clear road you MUST have in front of you when you have finished passing another vehicle?,Radio,car:core; heavy_vehicle:core; motorbike:core,passing-right.jpg,5.mp3,B,100 metres,A. 50 metres | B. 100 metres | C. 150 metres | D. 200 metres,"Safety when overtaking The least distance of clear road you must&nbsp;have in front of you when you have finished passing another vehicle is 100m. Remember that you shouldn&rsquo;t exceed the speed limit when passing, so be sure to allow yourself enough time to complete the passing manoeuvre. Before you pull out to overtake, check you are not being overtaken yourself. Wait until you can see the vehicle you are passing in your rear view mirror before signalling left and moving back to the left. If you are towing a trailer &nbsp;you will need to leave extra distance before moving back across so that you don&rsquo;t cut the other vehicle off. If you are moving back into a line of traffic you will need to quickly adjust your following distance. By moving in, you will have halved the gap between the vehicle you've just overtaken and the one in front of you. If the vehicle in front has to brake hard, you might run into the back of it, or the vehicle behind might not have had time to drop back enough. If you are passing a motorcyclist and you are driving a large vehicle like a truck or a car towing a caravan be aware that your slipstream can unbalance the motorbike. If you are overtaking in lower visibility don&rsquo;t assume that other drivers will have their headlights on. It can be quite difficult to see darker-coloured cars when it&rsquo;s gloomy. Always check twice for motorbikes coming towards you as they are less visible, and pay attention to any signs that might indicate there&rsquo;s a dip or crest ahead that could obscure your view, or uneven road &nbsp;which could unsettle your vehicle. While you are overtaking, make sure you are looking well ahead so that you're not caught out by an unexpected sharp corner after you've moved back into the lane. Keeping visibility at least&nbsp;100m after you've finished overtaking will give you time to brake for any obstacles ahead. Read our guide about advanced overtaking &nbsp;and you&rsquo;ll learn how to clearly signal to other drivers that you are overtaking. It explains advanced techniques that will help keep you safe, including judging distance , identifying hazards ahead, positioning yourself correctly and making the move.",what-is-the-least-distance-of-clear-road
6,"If anybody is hurt in a crash, the driver must tell a police officer as soon as possible but within how many hours?",Radio,car:core; heavy_vehicle:core; motorbike:core,,6.mp3,A,Within 24 hours,A. Within 24 hours | B. Within 36 hours | C. Within 48 hours | D. There's no need to tell the police - just make sure the injured people are OK,"Informing police after a vehicle accident or crash You must tell a police officer within 24 hours if you hurt someone in a crash. After a crash the first thing you need to do is stop. If your vehicle is mobile, move it to a safe place and put your hazard warning lights &nbsp;and headlights on. Check the other vehicles for injured people and render assistance if you can. It helps to have basic first aid knowledge, particularly how to do CPR. If people require medical assistance then call 111 and let the operator know what types of emergency vehicles you need - ambulance, police or fire. If the situation is dangerous, don't put yourself at risk of becoming another casualty. This includes things like live power lines down and on the road or over vehicles, a vehicle on fire, hazardous goods spilled , and even vehicles that are quite damaged but where the airbag hasn't deployed. There might be sharp corners on torn metal, &nbsp;hot surfaces exposed or fuel spilled. Read our advanced guide to what you should do if you have a crash by clicking here . In New Zealand in 2015 there were more crashes than in 2014, and 2016 is looking worse, too. The latest crash death statistics are here . The main causes of crashes are: Misjudging the road or another road user Alcohol Inappropriate speed",if-anybody-is-hurt-in-a-crash-when-must-
7,"To help you from being blinded by the headlights of an oncoming vehicle, what should you do?",Radio,car:core; heavy_vehicle:core; motorbike:core,,7a.mp3,B,Look to the left-hand side of the road,A. Flash your lights to let the other driver know | B. Look to the left-hand side of the road | C. Look to the right-hand side of the road | D. Look to the centre of the road,"Preventing being dazzled on the road Keep your eyes to the left to avoid being blinded by the headlights of an oncoming vehicle. Keeping your eyes to the left means you're not looking directly at the light and it will enable you to see the edge of the road more clearly. Your vehicle's headlights point slightly left of the central longitudinal axis of your vehicle to help avoid you inadvertently blinding other drivers. You can be temporarily blinded by another driver's headlights if: The driver is towing a trailer or carrying a heavy load in the rear of the car and hasn't adjusted their headlights to compensate for this (this is because if the rear of the car is lower than usual the headlights will point further up) A motorbike is carrying a pillion passenger &nbsp;and the extra weight on the back causes the main headlight beam to shine higher - motorbikes usually have an adjustment for this The angle of a corner you are approaching means that you are in the direct beam of the headlights A crest or series of crests or bumps lifts the front of the approaching vehicle slightly The driver has forgotten to dip their headlights A driver with adjustable suspension has adjusted the rear suspension lower and not compensated for it. If you are blinded then slow down and keep your eyes to the left. Once the blinding light has passed it will take a few moments for your eyes to adjust back to normal again, during which time you'll have reduced visibility which might include seeing coloured spots, or having less definition in what you are seeing. Adjusting a car's headlights If your car is new it will almost certainly have self-levelling headlights. If your car is 10 or more years old it might have a small dial, usually not positioned so you can adjust it while driving, which moves the lights' beams up and down. If you drive a really old car, then it'll be a manual adjustment. Adjusting a motorcycle's headlights You'll need your motorcycle's manual to find out where the adjustment screws or knobs are. Some are very easy to access while others are hidden away and need a long screwdriver. It's easier to adjust the lights at dusk or night but&nbsp;you'll want to find the adjuster screws in daylight. Before you adjust the headlight, the bike should have 3/4 of a tank of fuel, the tyres properly inflated and a rider sitting on it. The bike must be upright and you'll need to be facing a wall on level ground, perpendicular to it, around 6 metres away. Measure the lamp height using a tape measure. Then on the wall measure the same height and mark it.&nbsp; Using a spirit level mark a line across the wall with some masking tape or chalk. Then draw another line two inches/5cm lower. The top line is your high beam reference point and the bottom line is your low beam reference point. With your bike around 6m away the beams should line up with each piece of tape or chalk mark. If not, adjust them according to your service manual. The beams should be perfectly centred and not fuzzy. There are usually two or more exposed screws",to-help-you-from-being-blinded-by-the-he
8,"If two vehicles are facing each other at Give Way signs, which vehicle gives way?",Radio,car:core; heavy_vehicle:core; motorbike:core,,8v2.mp3,C,The vehicle that is turning,A. Whichever one gets there last | B. The vehicle that is not turning | C. The vehicle that is turning | D. Whichever is the smallest vehicle,"Give way rules when drivers are facing one another If two vehicles are facing a give way sign the vehicle that is turning gives way. Learning the give way rules is important. They apply to intersections with and without traffic lights or lines, roundabouts and driveways. They can also be overruled by a police officer directing traffic. The basic rule is: if you are turning, give way to all traffic that's not turning. You must give way to cyclists using cycle and bus lanes and vehicles using bus lanes. If two vehicles are facing the same type of sign, the give way rules apply. If the signs are different, the rules are modified, e.g. if you are waiting at a give way sign and the other driver is at a stop sign, you have priority regardless of your direction. Vehicles following the centre line have priority over vehicles leaving the path of the centre line. You must also give way to pedestrians on the road and people on the footpath.&nbsp; If you are at a T-intersection and the road you are on terminates (i.e. you are on the bottom of the T and will be turning either left or right), you must give way to road users on the top of the T. Many countries operate their intersections on a courtesy and politeness basis whereby the person arriving first has the right-of-way or, by using eye contact and/or hand gestures, drivers are acknowledged and proceed through the intersection. New Zealand's rules make it very clear who has right of way - there is no ambiguity. Drivers from North America If you are used to three- and four-way stops&nbsp;where the first driver arriving has priority, it is different in New Zealand.&nbsp;",if-two-vehicles-are-facing-give-way-sign
9,When driving across a railway level crossing you must check that there is space for your vehicle on the other side of the line. True or false?,Radio,car:core; heavy_vehicle:core; motorbike:core,train-sign.gif,9.mp3,A,True,A. True | B. False | C. Only on crossings that don't have signals and/or barrier arms,"Driving safely across railway level crossings When driving across a railway level crossing you must check that there is space for your vehicle on the other side of the line. This is especially important if you are driving a long vehicle. As you can see in the video below, if you get caught out on the crossing, the train cannot stop quickly. Therefore, as you approach a railway level crossing, check how many lines you will need to cross, and that there is enough room for you to pass over the crossing and leave at least 5 metres behind you (5m is about the length of a large car). Be careful in rush hour because vehicles can be slow moving and stop suddenly. Also be careful where there is an intersection&nbsp;soon after the railway crossing because a large vehicle could stop to turn left (if there are pedestrians crossing) or right (if it has to wait for oncoming traffic) and block the road, causing vehicles to stack up behind it. Crossings where this is a risk often have yellow cross-hatches &nbsp;on them that warn drivers not to block the lanes. If you do inadvertently become stranded on the lines, you might be able to drive around the barrier to get off the track. If you can't get off the track, get out of the vehicle and move well out of the way, towards the direction that a train is coming, in case the train hits the vehicle and it ricochets out of the way.&nbsp; As you can see in this satellite photo of the crossing on Morningside Drive, Auckland, there is a long cross-hatched area (marked in yellow lines) which is the no stopping area across the tracks. To the left in the image there is a left turn immediately after it (McDonald), and a bit further on (out of view) a road to the right. On the right of the image, traffic will queue at the traffic lights onto New North Road. This is one of the most dangerous crossings in Auckland and has seen serious accidents and fatalities. The latest data on railway level crossing incidents can be found here . Other causes of accidents on railway lines include vehicles getting stranded due to grounding or breaking down, drivers or pedestrians not looking at uncontrolled crossings, or drivers deliberately driving around barriers that are closed.",when-driving-across-rail
10,What must you do when you hear a siren or see red flashing lights from an ambulance or fire engine?,Radio,car:core; heavy_vehicle:core; motorbike:core,fire-flash-lights.gif,10.mp3,C,Slow down and pull over to allow them to pass. Stop if necessary,A. If they're behind you speed up so you're not holding them up | B. Stop quickly where you are | C. Slow down and pull over to allow them to pass. Stop if necessary | D. Drive up onto the footpath,"When you hear a siren or see red flashing lights from an ambulance or fire engine, if they are following you, you must slow down and pull over. Stop if necessary. If a police car is following you with its lights flashing (which will be red and blue), then you must stop unless it passes you and continues on its way. Improving your awareness of emergency vehicles when driving Loud music can obscure the sound of sirens, as can ear plugs and a loud exhaust if you are riding a motorbike. If you don't check your rear view mirror frequently you could miss an emergency vehicle trying to get past you. A siren is an oscillating tone usually in a range within 1-3kHz. Our ears are at their most sensitive at around 2kHz, therefore the least&nbsp;energy is required by the siren to generate a sound that is the most audible to humans. As well as the oscillating siren which goes up and down in pitch, some emergency vehicles can use short bursts of sound with a broader frequency range. These interrupt the siren and are also better for helping you to spatially locate the siren. This is because sounds between 1-3kHz are quite difficult to locate spatially. Different countries use different siren sounds. If you are new to driving in New Zealand, our sirens are fairly similar to American sirens. Read more about New Zealand emergency vehicle sirens . Should you go through a red light to get out of the way of an ambulance or fire engine? If you are waiting at an intersection and an ambulance or fire engine is behind you must not go through a red stop light. You may be fined for doing so because you put other road users in danger. The onus is on the emergency vehicle to find a way through. If you can move to the side of the lane without entering the intersection, then do that. Emergency vehicle drivers are trained not to pressurise other drivers where it might cause them to do something illegal or dangerous. On a motorway in stop-start rush hour traffic, they will be far more aggressive at getting vehicles to move than they will be at traffic lights where other vehicles are entering the intersection. You should also not drive up on a footpath. If you are moving to the left to let an emergency vehicle past, check in your blind spots for cyclists.",if-an-ambulance-or-fire-engine-is-behind
